Y,Scaled,nits
704,0.730593607,822.8828315
705,0.73173516,831.5601
706,0.732876712,840.3278516
707,0.734018265,849.1870425
708,0.735159817,858.1386392
709,0.73630137,867.1836188
710,0.737442922,876.3229691
711,0.738584475,885.5576887
712,0.739726027,894.888787
713,0.74086758,904.3172846
714,0.742009132,913.8442133
715,0.743150685,923.470616
716,0.744292237,933.1975473
717,0.74543379,943.0260732
718,0.746575342,952.9572714
719,0.747716895,962.9922315
720,0.748858447,973.132055
721,0.75,983.3778556
722,0.751141553,993.7307592
723,0.752283105,1004.191904
724,0.753424658,1014.762441
725,0.75456621,1025.443533
726,0.755707763,1036.236358
727,0.756849315,1047.142103
728,0.757990868,1058.161972
729,0.75913242,1069.297181
730,0.760273973,1080.548957
731,0.761415525,1091.918545
732,0.762557078,1103.4072
733,0.76369863,1115.016193
734,0.764840183,1126.746808
735,0.765981735,1138.600344
736,0.767123288,1150.578114
737,0.76826484,1162.681445
738,0.769406393,1174.911679
739,0.770547945,1187.270175
740,0.771689498,1199.758303
741,0.77283105,1212.377452
742,0.773972603,1225.129025
743,0.775114155,1238.014439
744,0.776255708,1251.035129
745,0.77739726,1264.192547
746,0.778538813,1277.488157
747,0.779680365,1290.923442
748,0.780821918,1304.499903
749,0.78196347,1318.219055
750,0.783105023,1332.082431
751,0.784246575,1346.091581
752,0.785388128,1360.248073
753,0.78652968,1374.553492
754,0.787671233,1389.00944
755,0.788812785,1403.617537
756,0.789954338,1418.379424
757,0.79109589,1433.296757
758,0.792237443,1448.371211
759,0.793378995,1463.604481
760,0.794520548,1478.998282
761,0.7956621,1494.554345
762,0.796803653,1510.274424
763,0.797945205,1526.160289
764,0.799086758,1542.213734
765,0.800228311,1558.436571
766,0.801369863,1574.830631
767,0.802511416,1591.397769
768,0.803652968,1608.139858
769,0.804794521,1625.058794
770,0.805936073,1642.156494
771,0.807077626,1659.434895
772,0.808219178,1676.89596
773,0.809360731,1694.541669
774,0.810502283,1712.374028
775,0.811643836,1730.395064
776,0.812785388,1748.606829
777,0.813926941,1767.011397
778,0.815068493,1785.610864
779,0.816210046,1804.407352
780,0.817351598,1823.403006
781,0.818493151,1842.599997
782,0.819634703,1862.000519
783,0.820776256,1881.606791
784,0.821917808,1901.421058
785,0.823059361,1921.445591
786,0.824200913,1941.682685
787,0.825342466,1962.134663
788,0.826484018,1982.803875
789,0.827625571,2003.692695
790,0.828767123,2024.803527
791,0.829908676,2046.138802
792,0.831050228,2067.700978
793,0.832191781,2089.492541
794,0.833333333,2111.516006
795,0.834474886,2133.773917
796,0.835616438,2156.268847
797,0.836757991,2179.003399
798,0.837899543,2201.980205
799,0.839041096,2225.201928
800,0.840182648,2248.671262
801,0.841324201,2272.390929
802,0.842465753,2296.363688
803,0.843607306,2320.592325
804,0.844748858,2345.079659
805,0.845890411,2369.828543
806,0.847031963,2394.841863
807,0.848173516,2420.122537
808,0.849315068,2445.673516
809,0.850456621,2471.497789
810,0.851598174,2497.598375
811,0.852739726,2523.978331
812,0.853881279,2550.640749
813,0.855022831,2577.588755
814,0.856164384,2604.825514
815,0.857305936,2632.354226
816,0.858447489,2660.178129
817,0.859589041,2688.300497
818,0.860730594,2716.724646
819,0.861872146,2745.453926
820,0.863013699,2774.491728
821,0.864155251,2803.841485
822,0.865296804,2833.506665
823,0.866438356,2863.490782
824,0.867579909,2893.797386
825,0.868721461,2924.430072
826,0.869863014,2955.392477
827,0.871004566,2986.688278
828,0.872146119,3018.321197
829,0.873287671,3050.294999
830,0.874429224,3082.613495
831,0.875570776,3115.280538
832,0.876712329,3148.300028
833,0.877853881,3181.67591
834,0.878995434,3215.412177
835,0.880136986,3249.512867
836,0.881278539,3283.982066
837,0.882420091,3318.82391
838,0.883561644,3354.042581
839,0.884703196,3389.642313
840,0.885844749,3425.627388
841,0.886986301,3462.002141
842,0.888127854,3498.770955
843,0.889269406,3535.938268
844,0.890410959,3573.50857
845,0.891552511,3611.486401
846,0.892694064,3649.87636
847,0.893835616,3688.683097
848,0.894977169,3727.911318
849,0.896118721,3767.565786
850,0.897260274,3807.65132
851,0.898401826,3848.172797
852,0.899543379,3889.13515
853,0.900684932,3930.543373
854,0.901826484,3972.402519
855,0.902968037,4014.717702
856,0.904109589,4057.494095
857,0.905251142,4100.736936
858,0.906392694,4144.451523
859,0.907534247,4188.643219
860,0.908675799,4233.317451
861,0.909817352,4278.47971
862,0.910958904,4324.135554
863,0.912100457,4370.290608
864,0.913242009,4416.950564
865,0.914383562,4464.121182
866,0.915525114,4511.808294
867,0.916666667,4560.017798
868,0.917808219,4608.755667
869,0.918949772,4658.027944
870,0.920091324,4707.840745
871,0.921232877,4758.200262
872,0.922374429,4809.112758
873,0.923515982,4860.584576
874,0.924657534,4912.622133
875,0.925799087,4965.231925
876,0.926940639,5018.420526
877,0.928082192,5072.194591
878,0.929223744,5126.560854
879,0.930365297,5181.526134
880,0.931506849,5237.097329
881,0.932648402,5293.281424
882,0.933789954,5350.085487
883,0.934931507,5407.516675
884,0.936073059,5465.58223
885,0.937214612,5524.289483
886,0.938356164,5583.645854
887,0.939497717,5643.658855
888,0.940639269,5704.336089
889,0.941780822,5765.685254
890,0.942922374,5827.714139
891,0.944063927,5890.430632
892,0.945205479,5953.842716
893,0.946347032,6017.958472
894,0.947488584,6082.786081
895,0.948630137,6148.333825
896,0.949771689,6214.610088
897,0.950913242,6281.623355
898,0.952054795,6349.38222
899,0.953196347,6417.895379
900,0.9543379,6487.171638
901,0.955479452,6557.219911
902,0.956621005,6628.049222
903,0.957762557,6699.668708
904,0.95890411,6772.087618
905,0.960045662,6845.315317
906,0.961187215,6919.361284
907,0.962328767,6994.235118
908,0.96347032,7069.946537
909,0.964611872,7146.505379
910,0.965753425,7223.921606
911,0.966894977,7302.205303
912,0.96803653,7381.36668
913,0.969178082,7461.416077
914,0.970319635,7542.363962
915,0.971461187,7624.220933
916,0.97260274,7706.997722
917,0.973744292,7790.705195
918,0.974885845,7875.354353
919,0.976027397,7960.956337
920,0.97716895,8047.522428
921,0.978310502,8135.064046
922,0.979452055,8223.592757
923,0.980593607,8313.120273
924,0.98173516,8403.658452
925,0.982876712,8495.219302
926,0.984018265,8587.814984
927,0.985159817,8681.45781
928,0.98630137,8776.160249
929,0.987442922,8871.934929
930,0.988584475,8968.794636
931,0.989726027,9066.752318
932,0.99086758,9165.821089
933,0.992009132,9266.014229
934,0.993150685,9367.345184
935,0.994292237,9469.827575
936,0.99543379,9573.475194
937,0.996575342,9678.302009
938,0.997716895,9784.322167
939,0.998858447,9891.549994
940,1,10000
